clone,clone_ID,rep,pond,season,start_experiment,end_experiment,total_ephippia,counted_by,total_individuals,total_females,total_males
Spring_2017_DBunk_217,DBunk_217,1,DBunk,spring_2017,1/24/18,3/8/18,0,DD-M,19,14,5
Spring_2017_DBunk_222,DBunk_222,1,DBunk,spring_2017,1/24/18,3/8/18,0,NA,NA,NA,NA
Spring_2017_DBunk_228,DBunk_228,1,DBunk,spring_2017,2/1/18,3/9/18,0,NA,NA,NA,NA
Spring_2017_DBunk_232,DBunk_232,1,DBunk,spring_2017,1/23/18,NA,0,NA,NA,NA,NA
Spring_2017_DBunk_242,DBunk_242,1,DBunk,spring_2017,1/24/18,3/8/18,6,DD-M,24,19,5
Spring_2017_DBunk_248,DBunk_248,1,DBunk,spring_2017,2/9/18,3/9/18,2,KB,18,18,0
Spring_2017_DBunk_254,DBunk_254,1,DBunk,spring_2017,1/24/18,3/8/18,0,KB,22,22,0
April_2017_DBunk_26,DBunk_26,1,DBunk,spring_2017,1/25/18,3/8/18,0,DD-M,41,37,4
Spring_2017_DBunk_260,DBunk_260,1,DBunk,spring_2017,2/1/18,3/9/18,0,KB,23,23,0
Spring_2017_DBunk_298,DBunk_298,1,DBunk,spring_2017,1/23/18,NA,0,NA,NA,NA,NA
April_2017_DBunk_314,DBunk_314,1,DBunk,spring_2017,1/25/18,3/8/18,5,KB,14,8,6
Spring_2017_DBunk_315,DBunk_315,1,DBunk,spring_2017,1/30/18,3/9/18,3,NA,NA,NA,NA
Spring_2017_DBunk_317,DBunk_317,1,DBunk,spring_2017,1/25/18,3/8/18,3,NA,NA,NA,NA
Spring_2017_DBunk_320,DBunk_320,1,DBunk,spring_2017,2/1/18,3/9/18,7,DD-M,5,4,1
Spring_2017_DBunk_338,DBunk_338,1,DBunk,spring_2017,1/26/18,3/9/18,0,DD-M,11,10,1
Spring_2017_DBunk_34,DBunk_34,1,DBunk,spring_2017,1/24/18,3/8/18,1,DD-M,22,19,3
Spring_2017_DBunk_340,DBunk_340,1,DBunk,spring_2017,1/23/18,NA,0,NA,NA,NA,NA
Spring_2017_DBunk_360,DBunk_360,1,DBunk,spring_2017,1/25/18,3/8/18,1,NA,3,3,0
Spring_2017_DBunk_373,DBunk_373,1,DBunk,spring_2017,1/24/18,3/8/18,0,DD-M,25,24,1
Spring_2017_DBunk_387,DBunk_387,1,DBunk,spring_2017,1/26/18,3/9/18,1,DD-M,37,25,12
Spring_2017_DBunk_399,DBunk_399,1,DBunk,spring_2017,1/25/18,3/8/18,0,KB,10,10,0
NA,DBunk_509,1,DBunk,spring_2017,1/19/18,3/8/18,0,NA,NA,NA,NA
NA,DBunk_509,1,DBunk,spring_2017,1/25/18,3/8/18,1,KB,14,10,4
May_2017_DBunk_514,DBunk_514,1,DBunk,spring_2017,1/25/18,3/8/18,0,KB,30,28,2
May_2017_DBunk_515,DBunk_515,1,DBunk,spring_2017,1/30/18,3/9/18,0,CY,18,16,2
May_2017_DBunk_523,DBunk_523,1,DBunk,spring_2017,1/24/18,3/8/18,2,KB,25,25,0
May_2017_DBunk_525,DBunk_525,1,DBunk,spring_2017,1/23/18,NA,3,NA,NA,NA,NA
May_2017_DBunk_525,DBunk_525,2,DBunk,spring_2017,1/23/18,NA,3,DD-M,11,11,0
May_2017_DBunk_535,DBunk_535,1,DBunk,spring_2017,1/23/18,3/8/18,5,DD-M,5,4,1
May_2017_DBunk_540,DBunk_540,1,DBunk,spring_2017,1/19/18,3/8/18,10,KB,14,14,0
May_2017_DBunk_540,DBunk_540,1,DBunk,spring_2017,1/26/18,3/9/18,2,NA,NA,NA,NA
May_2017_DBunk_547,DBunk_547,1,DBunk,spring_2017,1/25/18,3/8/18,0,KB,18,18,0
May_2017_DBunk_549B,DBunk_549,1,DBunk,spring_2017,1/25/18,3/8/18,1,NA,NA,NA,NA
May_2017_DBunk_550,DBunk_550,1,DBunk,spring_2017,1/24/18,3/8/18,0,NA,NA,NA,NA
May_2017_DBunk_554,DBunk_554,1,DBunk,spring_2017,1/19/18,3/8/18,5,KB,21,20,1
May_2017_DBunk_558,DBunk_558,1,DBunk,spring_2017,1/23/18,3/8/18,0,NA,NA,NA,NA
May_2017_DBunk_561,DBunk_561,1,DBunk,spring_2017,1/25/18,3/8/18,0,DD-M,1,1,0
May_2017_DBunk_569,DBunk_569,1,DBunk,spring_2017,1/24/18,3/8/18,0,NA,4,4,0
May_2017_DBunk_579,DBunk_579,1,DBunk,spring_2017,1/23/18,3/8/18,0,NA,NA,NA,NA
May_2017_DBunk_585,DBunk_585,1,DBunk,spring_2017,1/24/18,3/8/18,2,KB,21,21,0
Spring_2017_DBunk_64,DBunk_64,1,DBunk,spring_2017,2/1/18,3/9/18,1,DD-M,30,30,0
April_2017_DBunk_7,DBunk_7,1,DBunk,spring_2017,1/24/18,3/8/18,0,NA,NA,NA,NA
Spring_2017_DBunk_73,DBunk_73,1,DBunk,spring_2017,1/24/18,3/8/18,0,CY,22,22,0
Spring_2017_DBunk_73,DBunk_73,2,DBunk,spring_2017,1/24/18,3/8/18,0,DD-M,22,22,0
Spring_2017_DBunk_83,DBunk_83,1,DBunk,spring_2017,1/24/18,3/8/18,0,DD-M,3,1,2
Spring_2017_DBunk_99,DBunk_99,1,DBunk,spring_2017,1/26/18,3/9/18,0,KB,20,15,5
Spring_2017_DBunk_99,DBunk_99,1,DBunk,spring_2017,1/19/18,3/8/18,1,KB,4,4,0
